Year,State,Employment,AVG Price
2015,NY,3215993,$294491.0967
2015,OH,4328014,$128918.6692
2015,OK,1563468,$78471.1868
2015,OR,784773,$229342.9699
2015,PA,3781508,$148469.0774
2015,SC,1903921,$133174.5144
2015,SD,283958,$156592.72
2015,TN,2046731,$118777.1115
2015,TX,14765861,$166857.1826
2015,UT,1605052,$255820.0534
2015,VA,1525678,$204275.7328
2015,VT,162217,$210335.5548
2015,WA,3636182,$273426.0227
2015,WI,2531635,$165632.2609
2015,WV,343811,$101804.8624
2015,WY,124251,$213120.7064
2016,AK,301213,$214079.3236
2016,AL,2064510,$118836.8619
2016,AR,928526,$101687.5991
2016,AZ,3509573,$200283.4139
2016,CA,22774398,$476540.3218
2016,CO,3198384,$290881.573
2016,CT,2151290,$287719.1245
2016,DE,90378,$228282.364
2016,FL,11392671,$237106.5482
2016,GA,4732702,$132228.8966
2016,HI,764624,$504435.001
2016,IA,1043951,$122400.7416
2016,ID,698375,$195387.6101
2016,IL,1019035,$146415.4375
2016,IN,2244682,$118892.5826
2016,KS,699294,$82102.0973
2016,KY,597274,$88649.7489
2016,LA,2365536,$133718.6184
2016,MA,641596,$375966.5567
2016,MD,1875861,$304828.0634
2016,ME,522311,$178570.6203
2016,MI,4718978,$132997.9221
2016,MN,357161,$177696.3365
2016,MO,621274,$129434.6778
2016,MS,691734,$111467.9719
2016,MT,252083,$200174.7461
2016,NC,3446794,$155377.317
2016,ND,94914,$174746.6164
2016,NE,280739,$120855.9988
2016,NH,269070,$234487.121
2016,NJ,584475,$364914.3385
2016,NM,754959,$165695.6487
2016,NV,1591653,$249028.3293
2016,NY,3232849,$315420.5451
2016,OH,4376748,$132585.7965
2016,OK,1569879,$79658.0058
2016,OR,803431,$249763.7696
2016,PA,3803235,$155367.4602
2016,SC,1950988,$140527.4486
2016,SD,288181,$153324.1025
2016,TN,2111858,$128199.2467
2016,TX,15047151,$176231.5573
2016,UT,1669656,$275753.873
2016,VA,1550641,$207889.292
2016,VT,163808,$211761.4887
2016,WA,3735260,$294733.7481
2016,WI,2559908,$171881.6862
2016,WV,337397,$103957.8118
2016,WY,121405,$235466.3585
2017,AK,300968,$218050.6634
2017,AL,2092650,$120448.6121
2017,AR,943704,$105414.9813
2017,AZ,3605553,$211450.1077
2017,CA,23142898,$508092.8582
2017,CO,3283815,$312805.3209
2017,CT,2151140,$294968.0414
2017,DE,91846,$238689.3733
2017,FL,11804614,$253299.8284
2017,GA,4864681,$138142.806
2017,HI,767638,$534407.8724
2017,IA,1052296,$124537.7687
2017,ID,723061,$212024.3344
2017,IL,1014503,$147373.67
2017,IN,2290696,$124886.58
2017,KS,700455,$83431.5784
2017,KY,603260,$92531.1179
2017,LA,2369725,$131056.4456
2017,MA,646293,$397237.1537
2017,MD,1896683,$314533.3317
2017,ME,529561,$188962.7302
2017,MI,4776200,$141466.9951
2017,MN,360023,$187151.529
2017,MO,628946,$134456.0447
2017,MS,696867,$109705.9751
2017,MT,254338,$208406.6972
2017,NC,3502011,$162003.6198
2017,ND,93885,$166717.0803
2017,NE,282141,$126113.1455
2017,NH,271987,$247525.7123
2017,NJ,584559,$375737.4046
2017,NM,758261,$167230.5043
2017,NV,1645243,$267297.9741
2017,NY,3248188,$327920.7542
2017,OH,4416727,$137140.2549
2017,OK,1577183,$81665.2078
2017,OR,826554,$269815.4353
